;Entidad Federativa;Sexo;2005 Trimestre I;2005 Trimestre II;2005 Trimestre III;2005 Trimestre IV;2006 Trimestre I;2006 Trimestre II;2006 Trimestre III;2006 Trimestre IV;2007 Trimestre I;2007 Trimestre II;2007 Trimestre III;2007 Trimestre IV;2008 Trimestre I;2008 Trimestre II;2008 Trimestre III;2008 Trimestre IV;2009 Trimestre I;2009 Trimestre II;2009 Trimestre III;2009 Trimestre IV;2010 Trimestre I;2010 Trimestre II;2010 Trimestre III;2010 Trimestre IV;2011 Trimestre I;2011 Trimestre II;2011 Trimestre III;2011 Trimestre IV;2012 Trimestre I;2012 Trimestre II;2012 Trimestre III;2012 Trimestre IV;2013 Trimestre I;2013 Trimestre II;2013 Trimestre III;2013 Trimestre IV;2014 Trimestre I;2014 Trimestre II;2014 Trimestre III;2014 Trimestre IV;2015 Trimestre I;2015 Trimestre II;2015 Trimestre III;2015 Trimestre IV;2016 Trimestre I;2016 Trimestre II;2016 Trimestre III;2016 Trimestre IV;2017 Trimestre I;2017 Trimestre II;2017 Trimestre III;2017 Trimestre IV;2018 Trimestre I;2018 Trimestre II;2018 Trimestre III;2018 Trimestre IV;2019 Trimestre I;2019 Trimestre II;2019 Trimestre III;2019 Trimestre IV;2020 Trimestre I;2020 Trimestre II;2020 Trimestre III;2020 Trimestre IV;2021 Trimestre I;2021 Trimestre II;2021 Trimestre III;2021 Trimestre IV;2022 Trimestre I;2022 Trimestre II;2022 Trimestre III;2022 Trimestre IV;2023 Trimestre I;2023 Trimestre II;2023 Trimestre III;2023 Trimestre IV
11;Colima;Hombres;8353.7686517738;8730.2265207243;9201.2236446882;8322.4962460205;8974.8200109381;8952.6029068799;9403.5399228514;9281.5474131891;8828.0684936994;9220.00866888;8901.8092567047;8751.8221264725;9061.9594509633;8811.1820133364;8676.6255415042;8454.9903704972;8426.6350411234;7975.549989322601;8227.0805823435;7914.2428140077;8301.564991204901;8642.2037083668;8462.0078519542;8354.0965362939;8276.513854430901;8071.5754142345;7839.7093097024;7941.356150276;8066.574249478101;8368.093841985201;8389.3163206917;8081.1620461273005;8434.4413752037;8918.7962713921;7972.4281212748;8249.642803058301;8056.4673115895;7856.9854381675;7846.700531170301;7783.7471642989;7870.6935806001;7912.8322751074;7799.536256164501;7803.9410837604;7937.2788378493005;7879.010366299401;7945.1082670704;7893.4708230511005;7965.323791345;7832.8909306343;8139.1104692648005;7918.3691452875;8459.1732077859;8079.2770184215005;8651.155925639201;8023.8670734731;8216.7361311375;8211.482841549201;8273.0875457165;8224.5282776577;8244.0253327449;ND;7748.2394638768;8188.9973106526;8240.7562794889;8905.4370880267;8511.850137962001;8727.990264157701;8728.1341862219;9072.4263449964;8606.003908461;8914.1845704923;9203.5275912173;9221.9646484788;9327.4017761738;9190.7304383889
12;Colima;Mujeres;5852.6322108008;5645.8137424186;5537.3221919092;5596.8396276378;5816.7200412183;5879.4499116485;5879.5182852453;5714.4953519676;5825.5677562362;6163.1213018421;6198.6025277653;6289.6964725187;6143.3314843747;6129.6689596715005;5955.6018057922;5947.2138432325;6134.8457233518;5935.2620634193;5999.2799199027;5697.6090601438;5558.8144770715;5615.1230609772;5571.2234122375;5509.817272705301;5480.5836232395;5724.0210645474;5323.095253301;5222.129349476;5549.128687407;5403.9028047268;5334.7588282361;5589.1642143476;5464.7475079311;5421.8163970344;5793.7933730547;5374.3180996934;5382.792140319801;5229.8587781391;5237.7022361859;5273.5056419990005;5341.9179464222;5327.4649520627;5583.3974717588;5463.9337817672;5472.9236645799;5512.9789190263;5371.635428114801;5496.1824302691;5442.02996395;5259.5013586394;5406.4555195368;5394.3474124662;5360.651445473301;5519.1563509195;5770.9848800332;5530.7167540597;5511.8120100136;5657.9605735419;5621.2040102495;5576.6427245429;5727.9130620693;ND;5705.5069779653;5897.7539726927;6022.942835939601;6519.3657415514;6170.520717897;6362.5470567107;5895.863696019001;5935.1105341486;6038.7850486135;6210.9627634134;6305.5467084663005;6124.889604423301;6275.0801622511;6349.3315542122
13;Chiapas;Hombres;3501.7785842544;3387.3687877463003;3555.8065600692003;3552.8779499044003;3683.9468016051;3721.3701525737;3635.4192783413;3732.4372830896;4021.8470852721002;4048.9413267972;3973.5266408478;3955.7322029925003;3955.1330373429;3969.5253766416004;3754.1644243195;3837.0579040838;3967.941541212;3766.3468839415;4021.9095714542;3640.352810505;3695.6404533901;3540.87220691;3703.6469914608;3589.5344591516;3834.5760009017004;3858.7489143698003;3700.4117390034003;3661.1656612157003;3704.6440245189;3713.2608522211003;3697.241177503;3626.5747126156;3709.093995146;3529.8920144705003;3664.2921520603;3499.499466833;3593.7211759117004;3426.3355741515;3495.8545260627;3422.8726315307003;3570.8054128816;3517.8140933829;3483.8527103353003;3422.7884265825;3741.3746114787;3561.3496957245;3444.1137802503004;3549.0303948782002;3581.7067614053003;3550.0675755055;3321.251472066;3406.4692044367002;3466.024519483;3546.8242505030003;3462.6277777601003;3364.4985507447;3469.769394069;3320.7342814309;3278.6094392007003;3532.809505017;3639.7316691057003;ND;3455.9261421459;3845.1173511993;3770.1086853033003;3870.3782778762;3527.8406224887003;3619.3253605735003;4110.5241792906;3712.5421126302003;3586.3563892182;3971.0873868819003;4095.7313836674;4113.0990518797;3964.0562951384;4139.106022501001
14;Chiapas;Mujeres;3544.8865699127;3354.7846732838;3236.0777013503002;3285.8450002858003;3598.0327818757;3501.6208291861003;3577.1774008592;3660.6810735297;3736.4735744967;3932.1222798805;3553.4592353647;3601.7325614099;3752.1033937714;3991.7896637326003;3905.4221385871;4011.6454791844003;3767.8306746079;3850.8032290118003;3703.1491271791;3517.7090293382003;3665.3986758097003;3748.4982439721;3769.6788360794003;3892.1972316059;3852.1133080389;3725.638277383;3824.1247689921;3722.5342271177;3807.8309829373;3415.7658463438;3950.5711746314;3923.5761303157;3903.9901422853;3737.7872479711;3764.0882245186003;3698.0988519128;3962.2302339701;3554.6076055775;3922.8861969536;3823.0665826089003;4020.0397910716;4031.5467419213;3966.8966693871002;3592.6060770927;3912.818212529;3734.2741474364;3840.4762586203;3875.4301527541;3497.4193198518;3943.7677046529;3912.7542670153002;3954.9061103244003;3842.2178880954;4216.9170410043;3969.9258585782;4039.7012980094;4074.7257363582003;3603.9197734551003;3706.7175810849003;3890.5255023344002;4102.9016482935;ND;3949.6967474892003;3953.4477503824;4173.2987893683;4271.8815063099;4402.0138051799;3797.1815924697003;4035.2898634774;3868.4986489033004;3559.3904613634;3797.638358237;4049.5962312382003;4015.7794556022;4110.4768396345;4278.433220122301
15;Chihuahua;Hombres;8942.0932630998;9306.6098989907;9463.9106586832;9983.726898303901;9502.341884142901;10053.9063634167;9405.581273207301;9278.1360001701;9196.3729469653;9228.950560012501;10167.172988435701;8741.0962613767;9691.7000426193;9516.511143171201;9171.1889670239;8571.9116401763;9201.4973202125;8823.7926750866;8474.479126329701;7624.287649665001;7990.3580167830005;8375.2821034277;8245.5324885018;7668.5054728798;7644.8820794036;7548.106268165;7251.1929059734;7909.173970552801;7652.7319563825;8006.5515261317005;8291.6996083676;8049.9831631416;7746.002394486601;8317.8035466904;8004.9268358853005;8210.83419523;7868.071987237;8333.3526722917;7922.4352838973;7738.5219647878;7843.5698328014005;8472.7396487229;8508.3663370062;8802.9280529018;8658.8297922057;9235.2804733519;9552.9519016803;9364.9735748339;9735.406151794901;9045.2139345928;9309.453273428;9166.7479318069;8996.9125250209;9024.385795923301;9017.8696873162;8553.52069748;8964.3511259856;9083.7684003932;8868.9828330947;8819.6051735208;9283.2997031798;ND;9130.2700316604;8817.4683991149;9352.2272323753;8995.029580620201;8747.687612416601;8773.658860484;9319.8142274862;9390.2709030029;8928.4636375854;9049.4456053749;9643.385384102;9906.971489990001;9911.1028752108;9953.504332231001
16;Chihuahua;Mujeres;7081.4511306411005;6464.2422302952;6907.8827338307;7439.4634878509005;7596.111298501701;8393.7634084671;8373.3154484271;7727.507594011;7780.8085205186;7816.454431508801;9356.6266221241;8233.087320514;7862.8790799194;7300.8403441952005;6882.6345074555;6373.9926799211;6890.4457428325;7234.0201535193;7307.5472030782;6907.7930956086;6708.8177082894;6888.8898336559005;7086.459792448701;6190.3368055045;6439.5688950819;6089.6229527154;6850.856977113201;6458.7843229881;6640.2288760607;6600.7772047872;6844.1548248801;6704.5766596338;6383.8350575273;6239.8947789481;6834.176068005901;6679.1967755235;6492.8156656345;6455.5025640946005;6226.5098974517;6093.460588478801;6379.3582189964;6266.4022568949;6777.7770091875;6543.431898071301;7002.8994306519;7342.1407938018;7160.784745560601;7015.3309395490005;7069.938610617;7013.8405449363;7229.9957898026005;6670.656300163;6674.0615972977;6730.538090801;6783.4653773830005;6585.5442928821;7149.675655175601;6892.561454905101;6903.8471959280005;7018.8413637778;7251.436667109;ND;7168.296525445;6885.693370736701;7155.2456025958;7420.9970605559;7091.933858215801;6972.5684368514;7067.9899177454;7321.7813829538;7279.4193609996;7294.2629074711;7765.3241421328;7959.5584725474;8232.8866785281;8082.903978829901
17;Ciudad de México;Hombres;9728.5727024567;9980.9371693456;9772.0215179926;10408.3066152831;10207.0519672995;10416.3617600457;10623.990742076101;10313.009625434801;10911.576916395601;10789.303569138701;10525.1275368209;10698.7800881394;10759.5153575705;9988.216422415;9981.8629967066;10161.4326719648;9739.272309608701;10013.434618809;9589.678924729;8740.0859223573;9005.986327468301;9372.7329392352;9134.9727203506;8653.8128650089;8861.3800179275;9335.0755016314;9378.0909058956;8623.6682996773;8875.1661231082;8827.6193411787;9032.9663761258;8901.6285380672;8547.2745825073;8128.3335078577;8342.4098359378;8073.9991626989;8069.7792929631005;8189.6671201175;7667.7290489438;7497.0025992433;8221.1613534023;8111.2857201193;8690.7706650507;8030.5497254874;8125.2011788543;8594.161285030801;8750.2860151066;8819.1014886401;8193.4715025478;8749.8839313166;8499.731315078001;7779.5044155098;8486.7658179418;8453.6943764383;8372.3618519487;7907.400196393401;8223.271355017201;8240.9889241232;7822.363867263;7992.6821750628005;9242.810505372401;ND;7813.0085400999005;7938.6722656233005;8260.270068861;8580.3828964984;8182.8049491978;8369.8534410962;8445.838449236;8087.3599315885;7746.5375580521;8499.9707708847;9504.0073807887;9488.2643813353;9457.5307436353;9420.6736725791
18;Ciudad de México;Mujeres;7884.0059807802;7427.862917801101;7697.6887500064;7806.964705203;7960.7271859205;7698.5652815813;7966.6551124055;7665.0905182075;7935.8658744364;7941.7063091400005;8079.9461901319;7406.389023823001;7569.0177407066;7250.1376921772;7303.740670715601;7244.323401716801;7126.5323133124;7419.2911479342;7140.7742489258;6913.673312337501;6959.2753153286;7067.714682734901;6978.2432289065;6673.134632183001;6562.2212920057;6921.7560659511;6899.276905802501;6746.642279837601;6698.314925110601;7039.456672596;6951.0081119868;6682.3735129773;7102.3841341324005;6780.7425353443;7139.8920646704;6563.8018024937;6216.6727785616;6567.1530622405;6332.0107496076;6291.630113562101;6414.181158373401;6330.5660743388;7151.3885758998;6617.6644441723;6770.635040837;6985.9192229057;6722.038892088201;7063.8039267675;7146.6609024024;7293.9536689958;6869.719796727701;6390.3300226449;6752.5344451869005;6899.7774364152;6450.081317996101;6603.551838150101;6484.0081365074;6498.4306884214;6474.5862157163;6419.020101353501;7359.1502844805;ND;7304.4591697271;6926.2057123288005;7271.5080576073005;6784.0171308317;6519.7706592187005;6577.5627823052;7358.5154082114;7128.1526332628;6699.6793262048;7000.912085011901;7137.4135915437;7541.6133119999;7943.5798228349;7999.605754619301
19;Durango;Hombres;6153.2565793794;6082.1458329786;6180.089948429801;6384.4486184924;6533.1588362517;6675.44738557;6888.6539224861;6570.4495146659;6528.692643768501;6750.6761119046005;6441.1293179551;6738.2682816097;6789.39692944;7053.132811338501;6795.698031796201;6455.6783443276;6523.5445385915;6121.012811321701;6292.199736987401;5814.1594436297;6172.1381472586;6045.0956014203;5861.604646135101;6022.9025648523;6016.2629005399;6186.4487050546;6465.7644106332;5972.0001130508;5947.8102504422;5813.5474114572;5711.6752899701005;6096.1690842063;5996.3123453425005;6190.4523892649;5760.9826152587;5641.5715424488;5784.6674251034;5633.7944070283;5735.761051082301;5592.5596744812;5704.3065337123;5895.6227095062;6124.024202876;5961.761351924;6287.8766689543;6378.4570469916;6432.9155820317;6342.0261940165;6568.4312988527;6395.0410195834;6452.8802373129;6142.2537800761;6223.103826458901;6391.8845432334;6256.078936839101;6213.4714241234005;6509.3190239927;6948.7247292122;6811.3139081331;6742.7065983394;6959.9640824003;ND;6411.878986388;6651.1206387842;6619.7963097471;6562.5800716001;6395.914981667001;6399.530480270901;6775.7722808051;6790.313635692501;6680.1507012404;6698.7808121042;6966.5823854165;7170.4092540673;7159.0159888686;6969.8470580184
20;Durango;Mujeres;5166.1201839532005;5208.3281307829;5405.9576773744;5589.9949672324;5578.6689657431;5362.7196775262;5607.819622153001;5803.3997675375;5266.3421601653;5666.8737310885;5475.2541496141;5859.9951466556;5446.287550683301;5672.7057780686;5693.6817222513;5019.941843385101;5233.9060372925005;5542.6485752346;5399.5318185303;4881.0165083095;5115.117075467;4948.464652541;5306.1570720611;4817.0358250166;4919.6822533324;4805.798935355;5352.884255274;4558.1787003771005;4851.2210287052;5001.3781261816;4490.559436663;4319.443404661501;4635.289360291;4666.1895906386;4578.105672283;4472.7249857678;4575.7503033077;4690.6213981910005;4561.3745347092;4383.3570873757;4360.9595794008;4404.6859073489;4378.8734396152;4350.9410400319;4371.8678438515;4405.931655507;4604.8729369711;4749.744176635801;5001.0723158308;4961.5584248258;4987.7183620071;4727.107086730301;4971.1849856108;4779.3825378967;4575.6877515346005;4856.764161079101;4976.921860409;5149.3525484473;5114.2058647;5097.5454366925005;5316.7659273412;ND;5722.3947963755;5516.010829710101;5269.7420038068;5070.1495301017;5014.889691215;5099.6084920193;5394.3047266555;5573.0801317933;5232.8247303899;5331.5906426183;5542.8106993367;5579.7828405204;5727.3004287666;5340.0337828653
